data_amostragem,co2,pm25,pm10,o3,temperatura,umidade,qualidade,tipo
2025-05-14 06:00:00,350.8,27.3,31.3,0.038,25.9,58.3,Boa,ar
2025-05-14 12:00:00,545.9,33.2,39.7,0.029,28.7,68.6,Moderada,ar
2025-05-14 18:00:00,414.6,28.5,18.6,0.013,26.2,67.7,Boa,ar
2025-05-15 00:00:00,491.3,24.0,47.2,0.078,29.3,77.0,Boa,ar
2025-05-15 06:00:00,558.6,32.8,64.7,0.017,27.3,74.2,Moderada,ar
2025-05-15 12:00:00,458.5,13.1,12.0,0.027,28.1,61.5,Boa,ar
2025-05-15 18:00:00,474.4,13.8,75.7,0.078,24.5,56.1,Boa,ar
2025-05-16 00:00:00,476.3,12.5,77.2,0.016,28.0,74.6,Boa,ar
2025-05-16 06:00:00,369.4,13.2,68.2,0.011,24.5,76.3,Boa,ar
2025-05-16 12:00:00,430.0,23.6,48.7,0.046,29.4,64.6,Moderada,ar
2025-05-16 18:00:00,563.4,18.6,42.2,0.048,23.2,47.6,Moderada,ar
2025-05-17 00:00:00,575.4,27.0,14.0,0.014,23.1,59.1,Boa,ar
2025-05-17 06:00:00,595.2,16.3,45.7,0.087,28.7,62.5,Moderada,ar
