data_amostragem,co2,pm25,pm10,o3,temperatura,umidade,qualidade,tipo
2025-05-17 12:00:00,540.0,15.3,44.3,0.083,23.9,53.7,Boa,ar
2025-05-17 18:00:00,403.1,20.2,10.4,0.028,26.9,43.5,Moderada,ar
2025-05-18 00:00:00,492.7,33.3,69.2,0.01,26.3,47.0,Moderada,ar
2025-05-18 06:00:00,382.3,21.5,45.8,0.08,25.6,78.4,Ruim,ar
2025-05-18 12:00:00,397.8,30.9,30.8,0.028,23.0,52.4,Boa,ar
2025-05-18 18:00:00,594.7,9.4,41.9,0.087,25.6,42.5,Moderada,ar
2025-05-19 00:00:00,454.1,12.1,68.6,0.038,26.9,46.2,Moderada,ar
2025-05-19 06:00:00,473.4,15.1,66.0,0.097,29.7,67.6,Moderada,ar
2025-05-19 12:00:00,362.1,30.0,35.4,0.015,28.5,75.0,Moderada,ar
2025-05-19 18:00:00,431.8,34.6,19.3,0.089,23.3,53.7,Boa,ar
2025-05-20 00:00:00,476.4,7.4,52.2,0.011,25.7,52.5,Moderada,ar
