data_amostragem,co2,pm25,pm10,o3,temperatura,umidade,qualidade,tipo
2025-05-01 00:00:00,403.7,15.9,85.3,0.03,21.7,46.2,Ruim,ar
2025-05-02 00:00:00,528.4,17.6,96.6,0.11,27.3,58.1,Ruim,ar
2025-05-03 00:00:00,444.5,45.3,17.1,0.023,19.2,60.8,Ruim,ar
2025-05-04 00:00:00,416.9,14.2,24.6,0.089,25.3,44.9,Ruim,ar
2025-05-05 00:00:00,510.3,36.5,40.3,0.027,19.9,34.3,Ruim,ar
2025-05-06 00:00:00,444.2,40.4,37.8,0.107,26.4,71.5,Ruim,ar
2025-05-07 00:00:00,468.1,14.8,37.9,0.115,27.6,53.1,Ruim,ar
2025-05-08 00:00:00,468.3,6.3,47.6,0.133,29.5,63.4,Ruim,ar
2025-05-09 00:00:00,487.3,13.9,49.0,0.05,19.4,32.2,Ruim,ar
2025-05-10 00:00:00,488.4,42.0,57.6,0.055,22.7,89.1,Ruim,ar
2025-05-11 00:00:00,564.2,30.5,46.2,0.113,32.9,74.9,Ruim,ar
2025-05-12 00:00:00,360.6,12.5,92.8,0.129,17.2,77.7,Ruim,ar
2025-05-13 00:00:00,482.3,8.6,47.3,0.116,16.6,31.3,Ruim,ar
2025-05-14 00:00:00,360.4,17.9,51.1,0.088,25.6,51.4,Ruim,ar
2025-05-15 00:00:00,359.6,8.3,94.9,0.122,23.8,44.0,Ruim,ar
2025-05-16 00:00:00,392.6,45.7,27.0,0.07,18.2,43.0,Ruim,ar
2025-05-17 00:00:00,416.1,44.6,67.6,0.096,27.9,43.7,Ruim,ar
2025-05-18 00:00:00,438.9,43.6,45.5,0.028,28.9,53.8,Ruim,ar
2025-05-19 00:00:00,516.1,17.8,72.1,0.045,25.7,47.7,Ruim,ar
2025-05-20 00:00:00,522.3,28.0,92.7,0.098,20.7,78.6,Ruim,ar
2025-05-21 00:00:00,431.4,46.5,21.6,0.019,27.1,31.1,Ruim,ar
2025-05-22 00:00:00,451.5,17.7,24.8,0.029,15.8,82.8,Ruim,ar
2025-05-23 00:00:00,378.5,16.3,71.6,0.138,20.6,34.5,Ruim,ar
2025-05-24 00:00:00,378.7,48.1,59.2,0.128,25.4,77.6,Ruim,ar
2025-05-25 00:00:00,577.6,49.7,51.7,0.091,30.7,56.2,Ruim,ar
2025-05-26 00:00:00,542.5,28.9,34.0,0.098,27.4,43.4,Ruim,ar
2025-05-27 00:00:00,459.7,43.3,31.5,0.117,28.5,54.0,Ruim,ar
2025-05-28 00:00:00,485.7,37.6,15.3,0.014,32.9,65.9,Ruim,ar
2025-05-29 00:00:00,514.1,35.9,64.1,0.119,30.3,39.3,Ruim,ar
2025-05-30 00:00:00,577.9,49.4,57.4,0.119,21.9,68.8,Ruim,ar
2025-05-31 00:00:00,500.7,6.5,90.6,0.078,31.3,75.8,Ruim,ar
