data_amostragem,co2,pm25,pm10,o3,temperatura,umidade,qualidade,tipo
2025-02-01 00:00:00,481.3,5.7,55.8,0.053,17.8,89.4,Ruim,ar
2025-02-02 00:00:00,391.1,21.2,26.1,0.141,26.7,36.9,Ruim,ar
2025-02-03 00:00:00,376.9,9.9,42.3,0.097,23.0,62.9,Ruim,ar
2025-02-04 00:00:00,550.3,37.6,95.8,0.035,16.2,51.2,Ruim,ar
2025-02-05 00:00:00,599.8,33.2,48.5,0.019,19.3,78.3,Ruim,ar
2025-02-06 00:00:00,438.1,49.8,35.1,0.124,25.2,43.1,Ruim,ar
2025-02-07 00:00:00,454.9,9.5,77.7,0.039,25.6,60.1,Ruim,ar
2025-02-08 00:00:00,497.3,40.4,74.0,0.057,32.7,53.3,Ruim,ar
2025-02-09 00:00:00,409.4,20.0,91.0,0.144,20.6,72.5,Ruim,ar
2025-02-10 00:00:00,414.2,20.9,37.8,0.121,28.1,45.1,Ruim,ar
2025-02-11 00:00:00,493.8,9.9,99.4,0.116,33.6,38.3,Ruim,ar
2025-02-12 00:00:00,591.8,34.6,11.3,0.065,34.7,74.7,Ruim,ar
2025-02-13 00:00:00,405.4,42.1,25.9,0.069,32.6,88.5,Ruim,ar
2025-02-14 00:00:00,508.9,5.5,43.7,0.067,31.8,48.3,Ruim,ar
2025-02-15 00:00:00,366.6,43.8,87.5,0.089,31.4,70.0,Ruim,ar
2025-02-16 00:00:00,582.0,18.6,12.2,0.098,25.9,84.6,Ruim,ar
2025-02-17 00:00:00,512.4,41.9,37.5,0.051,17.4,73.3,Ruim,ar
2025-02-18 00:00:00,482.2,7.2,93.7,0.027,19.5,59.3,Ruim,ar
2025-02-19 00:00:00,537.5,20.7,66.2,0.122,27.3,57.0,Ruim,ar
2025-02-20 00:00:00,387.8,18.5,32.0,0.05,16.4,74.3,Moderada,ar
2025-02-21 00:00:00,372.7,35.2,56.0,0.149,25.5,54.3,Ruim,ar
2025-02-22 00:00:00,443.5,11.3,91.4,0.122,25.5,86.8,Ruim,ar
2025-02-23 00:00:00,453.1,10.9,22.7,0.075,24.2,30.2,Ruim,ar
2025-02-24 00:00:00,433.2,41.5,94.9,0.054,17.6,44.0,Ruim,ar
2025-02-25 00:00:00,425.2,30.5,94.4,0.087,15.8,42.1,Ruim,ar
2025-02-26 00:00:00,419.3,20.6,81.5,0.052,32.4,73.3,Ruim,ar
2025-02-27 00:00:00,517.2,24.2,73.1,0.062,32.2,43.0,Ruim,ar
2025-02-28 00:00:00,532.7,17.0,97.5,0.114,18.5,63.7,Ruim,ar
