data_amostragem,co2,pm25,pm10,o3,temperatura,umidade,qualidade,tipo
2025-04-01 00:00:00,499.5,28.9,45.5,0.145,34.7,76.4,Ruim,ar
2025-04-02 00:00:00,443.3,6.1,88.4,0.14,29.6,63.4,Ruim,ar
2025-04-03 00:00:00,512.9,18.0,96.0,0.082,27.2,36.0,Ruim,ar
2025-04-04 00:00:00,429.7,46.3,86.0,0.021,17.5,77.1,Ruim,ar
2025-04-05 00:00:00,470.6,28.3,45.2,0.094,33.6,84.0,Ruim,ar
2025-04-06 00:00:00,565.6,45.8,14.5,0.115,19.7,51.8,Ruim,ar
2025-04-07 00:00:00,375.1,19.4,32.7,0.122,24.1,32.4,Ruim,ar
2025-04-08 00:00:00,392.8,15.0,89.2,0.069,31.5,33.6,Ruim,ar
2025-04-09 00:00:00,480.5,42.8,83.1,0.051,16.6,60.9,Ruim,ar
2025-04-10 00:00:00,501.4,45.4,45.1,0.015,25.1,64.9,Ruim,ar
2025-04-11 00:00:00,454.8,49.2,98.4,0.12,31.6,34.4,Ruim,ar
2025-04-12 00:00:00,368.0,48.4,16.2,0.057,19.1,81.8,Ruim,ar
2025-04-13 00:00:00,352.4,26.3,23.9,0.022,17.3,35.5,Moderada,ar
2025-04-14 00:00:00,589.8,40.5,22.6,0.095,32.4,30.9,Ruim,ar
2025-04-15 00:00:00,468.4,22.6,67.1,0.055,33.0,85.5,Ruim,ar
2025-04-16 00:00:00,359.5,24.6,94.2,0.046,28.0,74.8,Ruim,ar
2025-04-17 00:00:00,505.0,48.5,48.8,0.051,34.4,79.6,Ruim,ar
2025-04-18 00:00:00,512.0,44.9,51.9,0.039,24.6,66.3,Ruim,ar
2025-04-19 00:00:00,379.2,29.5,34.1,0.086,31.4,72.4,Ruim,ar
2025-04-20 00:00:00,472.3,42.1,49.7,0.062,25.8,71.3,Ruim,ar
2025-04-21 00:00:00,382.9,48.4,69.9,0.052,17.5,58.5,Ruim,ar
2025-04-22 00:00:00,460.1,22.9,72.8,0.137,33.7,67.9,Ruim,ar
2025-04-23 00:00:00,353.2,7.0,22.8,0.066,20.2,84.5,Moderada,ar
2025-04-24 00:00:00,510.9,6.4,91.7,0.058,33.1,42.3,Ruim,ar
2025-04-25 00:00:00,468.6,36.2,67.1,0.119,28.1,66.1,Ruim,ar
2025-04-26 00:00:00,481.1,26.0,35.3,0.139,24.6,72.5,Ruim,ar
2025-04-27 00:00:00,355.7,39.5,53.7,0.071,27.3,37.1,Ruim,ar
2025-04-28 00:00:00,595.2,36.4,79.7,0.054,19.3,76.4,Ruim,ar
2025-04-29 00:00:00,511.2,38.8,50.0,0.078,25.5,57.1,Ruim,ar
2025-04-30 00:00:00,387.7,21.6,93.6,0.105,35.0,31.1,Ruim,ar
