data_amostragem,co2,pm25,pm10,o3,temperatura,umidade,qualidade,tipo
2025-03-01 00:00:00,464.4,44.3,17.2,0.137,19.7,52.3,Ruim,ar
2025-03-02 00:00:00,376.6,41.7,29.6,0.068,20.0,86.1,Ruim,ar
2025-03-03 00:00:00,397.0,7.5,15.8,0.051,19.0,50.6,Moderada,ar
2025-03-04 00:00:00,458.6,21.3,82.4,0.123,20.3,68.7,Ruim,ar
2025-03-05 00:00:00,361.1,15.8,99.1,0.077,16.8,41.8,Ruim,ar
2025-03-06 00:00:00,382.0,29.2,34.9,0.149,20.6,39.3,Ruim,ar
2025-03-07 00:00:00,595.7,11.9,20.3,0.127,30.7,43.0,Ruim,ar
2025-03-08 00:00:00,533.0,21.9,55.0,0.13,29.4,62.1,Ruim,ar
2025-03-09 00:00:00,365.3,7.5,30.4,0.04,22.1,69.0,Moderada,ar
2025-03-10 00:00:00,498.8,44.6,58.9,0.115,32.8,52.0,Ruim,ar
2025-03-11 00:00:00,457.7,34.1,81.8,0.074,28.3,60.4,Ruim,ar
2025-03-12 00:00:00,539.2,10.3,71.9,0.081,17.8,65.7,Ruim,ar
2025-03-13 00:00:00,443.7,27.5,21.7,0.065,24.0,66.4,Moderada,ar
2025-03-14 00:00:00,433.3,32.4,72.9,0.067,22.0,32.7,Ruim,ar
2025-03-15 00:00:00,545.8,43.8,81.8,0.025,18.2,81.2,Ruim,ar
2025-03-16 00:00:00,496.3,38.4,34.3,0.033,16.1,52.3,Ruim,ar
2025-03-17 00:00:00,366.8,23.2,84.9,0.08,25.6,63.2,Ruim,ar
2025-03-18 00:00:00,536.8,7.0,24.4,0.115,28.5,88.5,Ruim,ar
2025-03-19 00:00:00,462.3,10.9,25.5,0.052,28.5,57.2,Ruim,ar
2025-03-20 00:00:00,411.0,31.8,16.4,0.029,30.9,31.2,Moderada,ar
2025-03-21 00:00:00,382.0,19.3,78.6,0.038,21.5,66.6,Ruim,ar
2025-03-22 00:00:00,586.2,21.8,23.0,0.148,30.2,35.1,Ruim,ar
2025-03-23 00:00:00,422.6,31.9,28.0,0.118,28.8,56.0,Ruim,ar
2025-03-24 00:00:00,391.0,7.8,90.3,0.067,19.3,77.3,Ruim,ar
2025-03-25 00:00:00,362.6,7.5,30.1,0.017,30.9,33.6,Moderada,ar
2025-03-26 00:00:00,514.8,6.3,30.6,0.057,21.3,41.4,Ruim,ar
2025-03-27 00:00:00,535.6,43.4,52.8,0.046,18.0,50.2,Ruim,ar
2025-03-28 00:00:00,407.0,22.1,79.6,0.13,23.0,71.1,Ruim,ar
2025-03-29 00:00:00,374.7,25.6,92.6,0.131,20.7,70.9,Ruim,ar
2025-03-30 00:00:00,506.3,34.9,89.2,0.034,29.3,47.3,Ruim,ar
2025-03-31 00:00:00,413.1,17.5,48.9,0.016,19.9,71.3,Moderada,ar
