data_amostragem,ph,turbidez,oxigenio_dissolvido,temperatura,qualidade,tipo
2025-05-14 18:00:00,6.61,1.02,8.56,20.1,Moderada,agua
2025-05-15 00:00:00,7.12,2.54,8.39,20.1,Ruim,agua
2025-05-15 06:00:00,7.39,2.2,9.27,23.0,Moderada,agua
2025-05-15 12:00:00,7.79,2.61,8.33,26.7,Boa,agua
2025-05-15 18:00:00,6.6,1.38,9.86,22.1,Ruim,agua
2025-05-16 00:00:00,8.14,3.62,8.8,20.2,Ruim,agua
2025-05-16 06:00:00,8.4,2.06,6.79,23.0,Boa,agua
2025-05-16 12:00:00,8.32,1.78,7.25,22.2,Boa,agua
2025-05-16 18:00:00,7.11,2.58,8.86,23.4,Boa,agua
2025-05-17 00:00:00,7.62,2.03,9.93,20.3,Ruim,agua
2025-05-17 06:00:00,8.15,4.65,6.74,23.7,Boa,agua
2025-05-17 12:00:00,7.74,2.51,8.15,25.0,Moderada,agua
2025-05-17 18:00:00,8.18,2.65,7.77,22.8,Moderada,agua
2025-05-18 00:00:00,7.9,3.81,6.85,26.6,Ruim,agua
