data_amostragem,ph,turbidez,oxigenio_dissolvido,temperatura,qualidade,tipo
2025-03-01 00:00:00,7.62,0.64,8.43,21.7,Moderada,agua
2025-03-02 00:00:00,6.47,1.53,8.72,21.9,Ruim,agua
2025-03-03 00:00:00,6.4,2.99,9.49,21.7,Ruim,agua
2025-03-04 00:00:00,6.25,3.18,5.29,21.7,Ruim,agua
2025-03-05 00:00:00,6.32,2.32,7.87,27.0,Ruim,agua
2025-03-06 00:00:00,8.43,0.28,7.12,24.2,Ruim,agua
2025-03-07 00:00:00,7.72,0.54,8.78,28.8,Moderada,agua
2025-03-08 00:00:00,6.65,1.38,9.35,25.2,Moderada,agua
2025-03-09 00:00:00,8.04,1.74,7.22,20.8,Ruim,agua
2025-03-10 00:00:00,6.37,4.05,8.1,15.5,Ruim,agua
2025-03-11 00:00:00,8.26,0.61,9.02,22.8,Ruim,agua
2025-03-12 00:00:00,8.26,2.46,6.41,27.4,Ruim,agua
2025-03-13 00:00:00,7.88,2.1,6.95,19.5,Moderada,agua
2025-03-14 00:00:00,6.65,0.21,9.97,25.6,Moderada,agua
2025-03-15 00:00:00,7.84,4.51,7.85,23.2,Moderada,agua
2025-03-16 00:00:00,7.79,3.95,6.01,26.2,Moderada,agua
2025-03-17 00:00:00,6.42,0.51,5.93,19.5,Ruim,agua
2025-03-18 00:00:00,7.3,3.0,7.05,18.7,Moderada,agua
2025-03-19 00:00:00,7.39,1.66,8.96,15.6,Boa,agua
2025-03-20 00:00:00,7.62,4.61,9.72,16.9,Moderada,agua
2025-03-21 00:00:00,6.08,0.62,5.49,25.3,Ruim,agua
2025-03-22 00:00:00,6.12,3.65,6.92,27.6,Ruim,agua
2025-03-23 00:00:00,6.62,2.91,9.76,20.5,Moderada,agua
2025-03-24 00:00:00,8.31,3.19,7.01,24.8,Ruim,agua
2025-03-25 00:00:00,6.31,3.61,9.39,29.1,Ruim,agua
2025-03-26 00:00:00,6.2,4.28,7.51,16.7,Ruim,agua
2025-03-27 00:00:00,7.22,1.48,7.05,17.1,Boa,agua
2025-03-28 00:00:00,6.0,4.85,5.74,17.4,Ruim,agua
2025-03-29 00:00:00,6.69,1.93,6.48,17.8,Moderada,agua
2025-03-30 00:00:00,8.48,3.47,6.86,18.5,Ruim,agua
2025-03-31 00:00:00,8.28,3.22,7.66,17.0,Ruim,agua
