data_amostragem,ph,turbidez,oxigenio_dissolvido,temperatura,qualidade,tipo
2025-02-01 00:00:00,6.76,0.6,5.16,29.3,Ruim,agua
2025-02-02 00:00:00,8.03,3.65,9.42,21.7,Ruim,agua
2025-02-03 00:00:00,6.38,4.46,6.38,18.0,Ruim,agua
2025-02-04 00:00:00,7.82,1.33,6.56,25.4,Moderada,agua
2025-02-05 00:00:00,6.6,1.16,9.76,19.2,Moderada,agua
2025-02-06 00:00:00,7.6,0.12,5.02,18.5,Ruim,agua
2025-02-07 00:00:00,8.07,0.59,7.19,20.1,Ruim,agua
2025-02-08 00:00:00,6.27,2.88,5.15,28.8,Ruim,agua
2025-02-09 00:00:00,7.33,3.3,8.27,23.7,Moderada,agua
2025-02-10 00:00:00,7.62,1.97,8.07,16.5,Moderada,agua
2025-02-11 00:00:00,6.47,4.83,5.69,20.0,Ruim,agua
2025-02-12 00:00:00,6.82,4.76,9.83,18.2,Moderada,agua
2025-02-13 00:00:00,6.06,4.9,7.05,15.2,Ruim,agua
2025-02-14 00:00:00,8.49,2.09,6.58,23.8,Ruim,agua
2025-02-15 00:00:00,8.12,1.8,6.06,27.4,Ruim,agua
2025-02-16 00:00:00,7.32,4.09,9.67,24.9,Moderada,agua
2025-02-17 00:00:00,7.98,1.01,9.38,18.9,Moderada,agua
2025-02-18 00:00:00,7.08,3.68,8.21,19.6,Moderada,agua
2025-02-19 00:00:00,7.74,4.69,9.57,28.2,Moderada,agua
2025-02-20 00:00:00,6.93,2.44,8.87,23.5,Moderada,agua
2025-02-21 00:00:00,6.66,2.22,6.99,27.6,Moderada,agua
2025-02-22 00:00:00,7.36,4.1,6.57,28.1,Moderada,agua
2025-02-23 00:00:00,7.85,4.79,5.87,24.9,Ruim,agua
2025-02-24 00:00:00,7.65,1.32,8.31,26.9,Moderada,agua
2025-02-25 00:00:00,7.94,0.85,5.67,19.7,Ruim,agua
2025-02-26 00:00:00,7.38,0.86,9.08,26.3,Moderada,agua
2025-02-27 00:00:00,7.76,0.24,7.18,28.6,Moderada,agua
2025-02-28 00:00:00,7.26,4.13,5.65,26.7,Ruim,agua
