data_amostragem,ph,turbidez,oxigenio_dissolvido,temperatura,qualidade,tipo
2025-06-01 00:00:00,6.59,3.05,6.45,25.1,Moderada,agua
2025-06-02 00:00:00,8.48,2.97,5.4,23.0,Ruim,agua
2025-06-03 00:00:00,6.39,4.26,8.76,23.8,Ruim,agua
2025-06-04 00:00:00,6.67,0.59,7.01,17.8,Boa,agua
2025-06-05 00:00:00,6.77,2.08,5.88,17.9,Ruim,agua
2025-06-06 00:00:00,7.96,2.15,9.1,29.8,Moderada,agua
2025-06-07 00:00:00,6.77,2.76,6.86,27.1,Moderada,agua
2025-06-08 00:00:00,7.7,3.43,9.86,28.7,Moderada,agua
2025-06-09 00:00:00,7.83,4.74,8.63,17.4,Moderada,agua
2025-06-10 00:00:00,6.08,3.19,5.68,22.7,Ruim,agua
2025-06-11 00:00:00,6.78,1.31,7.26,19.4,Boa,agua
2025-06-12 00:00:00,6.87,4.15,9.06,23.1,Moderada,agua
2025-06-13 00:00:00,8.04,1.79,5.94,18.1,Ruim,agua
2025-06-14 00:00:00,8.24,2.26,8.15,25.1,Ruim,agua
2025-06-15 00:00:00,6.05,4.04,9.31,18.7,Ruim,agua
2025-06-16 00:00:00,6.47,0.81,7.3,27.7,Ruim,agua
2025-06-17 00:00:00,7.91,0.77,5.46,16.9,Ruim,agua
2025-06-18 00:00:00,6.48,1.21,5.7,18.0,Ruim,agua
2025-06-19 00:00:00,8.03,1.77,7.2,18.2,Ruim,agua
2025-06-20 00:00:00,7.5,2.52,7.28,20.7,Moderada,agua
2025-06-21 00:00:00,7.76,2.92,7.51,19.5,Moderada,agua
2025-06-22 00:00:00,8.44,4.4,8.79,26.9,Ruim,agua
2025-06-23 00:00:00,7.53,0.93,6.53,22.8,Moderada,agua
2025-06-24 00:00:00,8.31,3.9,8.5,28.0,Ruim,agua
2025-06-25 00:00:00,6.44,0.62,9.37,15.3,Ruim,agua
2025-06-26 00:00:00,7.2,1.58,9.73,17.9,Moderada,agua
2025-06-27 00:00:00,6.46,2.56,5.44,23.2,Ruim,agua
2025-06-28 00:00:00,7.39,0.59,8.82,26.1,Boa,agua
2025-06-29 00:00:00,6.16,4.83,7.22,24.6,Ruim,agua
2025-06-30 00:00:00,8.23,3.69,8.23,16.7,Ruim,agua
