data_amostragem,ph,turbidez,oxigenio_dissolvido,temperatura,qualidade,tipo
2025-04-01 00:00:00,8.38,0.46,6.95,26.5,Ruim,agua
2025-04-02 00:00:00,7.05,2.97,9.36,18.7,Moderada,agua
2025-04-03 00:00:00,7.24,2.63,5.45,27.8,Ruim,agua
2025-04-04 00:00:00,7.82,3.93,9.95,26.9,Moderada,agua
2025-04-05 00:00:00,7.4,2.9,8.23,23.5,Moderada,agua
2025-04-06 00:00:00,6.71,1.54,5.41,21.8,Ruim,agua
2025-04-07 00:00:00,6.91,2.38,5.44,24.2,Ruim,agua
2025-04-08 00:00:00,7.22,0.69,5.24,27.6,Ruim,agua
2025-04-09 00:00:00,6.8,1.06,5.03,19.6,Ruim,agua
2025-04-10 00:00:00,6.44,3.36,9.72,16.7,Ruim,agua
2025-04-11 00:00:00,7.63,2.61,6.35,21.1,Moderada,agua
2025-04-12 00:00:00,8.27,0.22,8.56,21.9,Ruim,agua
2025-04-13 00:00:00,7.32,3.28,6.83,24.3,Moderada,agua
2025-04-14 00:00:00,8.39,1.58,8.39,22.8,Ruim,agua
2025-04-15 00:00:00,7.79,2.39,6.39,28.3,Moderada,agua
2025-04-16 00:00:00,6.39,3.11,7.51,22.8,Ruim,agua
2025-04-17 00:00:00,6.76,0.95,7.86,22.7,Boa,agua
2025-04-18 00:00:00,6.33,2.33,7.73,29.0,Ruim,agua
2025-04-19 00:00:00,8.28,0.16,7.2,21.5,Ruim,agua
2025-04-20 00:00:00,8.03,0.87,5.44,18.1,Ruim,agua
2025-04-21 00:00:00,7.06,1.54,5.3,29.0,Ruim,agua
2025-04-22 00:00:00,7.6,1.1,6.84,27.5,Moderada,agua
2025-04-23 00:00:00,6.82,3.18,7.42,29.4,Moderada,agua
2025-04-24 00:00:00,8.48,4.76,5.66,16.4,Ruim,agua
2025-04-25 00:00:00,7.43,4.99,9.32,29.4,Moderada,agua
2025-04-26 00:00:00,6.75,2.39,9.9,23.5,Moderada,agua
2025-04-27 00:00:00,7.41,3.24,6.03,21.2,Moderada,agua
2025-04-28 00:00:00,6.81,2.32,6.62,19.2,Moderada,agua
2025-04-29 00:00:00,7.08,4.68,9.17,16.4,Moderada,agua
2025-04-30 00:00:00,6.42,0.66,9.76,21.3,Ruim,agua
